1952441
2273151
1696030
1685423
1744123
2186431
2567315
3270597
3978391
2801213
3982719
2320493
2881612
2436480
2030568
3290328
3741791
3069842
2104841
2544997
2198546
2476109
2809591
3087581
2201900
2640895
3174082
2733718
2453811
2013463
1788203
2212751
1703473
1874976
1696712	filename=dat/data-16mb-0.dat	filename2=dat/data-16mb-10.dat	cache=1
1696263	filename=dat/data-16mb-0.dat	filename2=dat/data-16mb-10.dat	cache=1
1895742	filename=dat/data-16mb-0.dat	filename2=dat/data-16mb-10.dat	cache=1
1725442	filename=dat/data-16mb-0.dat	filename2=dat/data-16mb-10.dat	cache=1
2195588  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
1724249  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
1713379  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
2027535  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
1675134  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
1720068  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
1728820  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
1722447  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  cache=1
1693334  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=5  cache=1
2063385  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=5  cache=1
1732434  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=5  cache=1
1726720  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
1693374  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=5  cache=1
1690438  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
2315759  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
1701655  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
1743955  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
1731268  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
1710845  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
1718960  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
1727070  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=1
6639284  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=0
6301578  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=0
3005893  filename=dat/data-16mb-0.dat  filename2=dat/data-16mb-10.dat  interval=1  cache=0
